314	10006.960035922 10006.533313662 10007.386758182 0 0 0 64.950000000 63.575412441 66.324587559 106536.000000000 106524.459832455 106547.540167545
324	10006.933432826 10006.515567745 10007.351297907 0 0 0 66.870000000 64.755333484 68.984666516 106512.000000000 106498.420721670 106525.579278330
334	10006.836369485 10006.429466210 10007.243272760 0 0 0 69.500000000 67.525630261 71.474369739 108299.000000000 108287.294571048 108310.705428952
344	10006.755008907 10006.358073157 10007.151944657 0 0 0 71.582500000 69.395139781 73.769860219 106466.000000000 106454.240000000 106477.760000000
354	10006.659614937 10006.272740564 10007.046489310 0 0 0 74.640000000 74.373771678 74.906228322 106929.000000000 106041.120000000 107816.880000000
364	10006.569841474 10006.192457848 10006.947225100 0 0 0 77.207500000 76.673759756 77.741240244 106907.000000000 106020.424740853 107793.575259147
374	10006.557701031 10006.186739882 10006.928662180 0 0 0 77.842500000 76.821248776 78.863751224 106443.000000000 106428.202324508 106457.797675492
384	10006.483365050 10006.120734040 10006.845996060 0 0 0 77.837500000 75.878866352 79.796133648 106426.000000000 106416.668533504 106435.331466496
394	10006.404680277 10006.050233917 10006.759126637 0 0 0 81.057500000 78.648475012 83.466524988 106397.000000000 106384.449876496 106409.550123504
404	10006.338274192 10005.991320331 10006.685228053 0 0 0 85.067500000 84.594427903 85.540572097 106365.000000000 106363.040000000 106366.960000000
414	10006.266538954 10005.927022367 10006.606055541 0 0 0 87.282500000 86.934600000 87.630400000 106339.000000000 106337.040000000 106340.960000000
424	10006.253839294 10005.919506510 10006.588172078 0 0 0 88.755000000 87.815136060 89.694863940 106333.000000000 106318.202324508 106347.797675492
434	10006.312520089 10005.980750368 10006.644289810 0 0 0 88.047500000 85.681260016 90.413739984 106320.000000000 106320.000000000 106320.000000000
444	10006.246167124 10005.921016619 10006.571317629 0 0 0 92.037500000 88.846516315 95.228483685 106281.000000000 106268.449876496 106293.550123504
454	10006.251805542 10005.930643036 10006.572968048 0 0 0 95.495000000 95.207552452 95.782447548 106258.000000000 106255.736787017 106260.263212983
464	10006.248391691 10005.931393812 10006.565389570 0 0 0 97.892500000 97.516730377 98.268269623 106231.000000000 106229.040000000 106232.960000000
474	10006.187447004 10005.876363044 10006.498530964 0 0 0 96.837500000 94.505218386 99.169781614 106226.000000000 106214.240000000 106237.760000000
484	10006.250086903 10005.940689241 10006.559484565 0 0 0 98.762500000 94.872501748 102.652498252 106197.000000000 106182.202324508 106211.797675492
494	10006.247955957 10005.942249550 10006.553662364 0 0 0 104.297500000 103.814582689 104.780417311 106169.000000000 106165.246885696 106172.753114304
504	10006.300296307 10005.996416842 10006.604175772 0 0 0 106.037500000 105.603312441 106.471687559 106143.000000000 106141.040000000 106144.960000000
514	10006.297798719 10005.997389877 10006.598207561 0 0 0 104.500000000 100.643088888 108.356911112 106148.000000000 106148.000000000 106148.000000000
524	10006.241743831 10005.946402788 10006.537084874 0 0 0 106.810000000 102.743366041 110.876633959 106113.000000000 106100.449876496 106125.550123504
534	10006.240003533 10005.947888741 10006.532118325 0 0 0 112.400000000 111.930553404 112.869446596 106079.000000000 106077.040000000 106080.960000000
544	10006.237534222 10005.948581897 10006.526486547 0 0 0 113.550000000 112.213649707 114.886350293 106068.000000000 106054.420721670 106081.579278330
554	10006.241616250 10005.955525465 10006.527707035 0 0 0 111.722500000 109.082879143 114.362120857 106059.000000000 106057.040000000 106060.960000000
564	10006.190525985 10005.908906666 10006.472145304 0 0 0 114.815000000 110.370043654 119.259956346 106025.000000000 106010.202324508 106039.797675492
574	10006.141453046 10005.864139889 10006.418766203 0 0 0 120.560000000 120.007247856 121.112752144 105990.000000000 105987.736787017 105992.263212983
584	10006.094552128 10005.821376975 10006.367727281 0 0 0 120.760000000 118.329086345 123.190913655 105980.000000000 105966.420721670 105993.579278330
594	10006.049119302 10005.779949373 10006.318289231 0 0 0 122.067500000 118.658223103 125.476776897 105960.000000000 105946.420721670 105973.579278330
604	10006.004782619 10005.739504806 10006.270060432 0 0 0 128.145000000 127.821500531 128.468499469 105924.000000000 105920.799333354 105927.200666646
